DIA,LINEA,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
13/01/2023,LÍNEA P,"1,110","2,449","2,665","1,924","1,086",868,710,707,860,695,675,606,731,777,596,517,495,234,158,7,"17,870"
13/01/2023,LÍNEA T-A,"1,139","2,893","3,440","3,310","2,343","2,014","1,920","1,889","2,150","2,162","2,396","2,789","3,515","4,375","4,125","2,943","1,977","1,515","1,199",2,"48,096"
14/01/2023,LÍNEA 1,"2,060","4,636","5,666","6,227","4,598","4,249","4,013","4,363","5,637","5,964","5,982","5,327","5,380","4,812","4,001","2,975","2,989","2,655","1,459",89,"83,082"
14/01/2023,LÍNEA 2,97,531,581,721,636,684,796,994,"1,221","1,285","1,214","1,145","1,130","1,101",854,837,750,469,226,18,"15,290"
14/01/2023,LÍNEA A,"11,550","24,660","30,257","29,498","22,634","20,929","21,432","24,737","36,274","39,442","41,656","35,359","34,300","32,409","30,169","24,898","19,349","17,741","9,785",2,"507,081"
14/01/2023,LÍNEA B,"2,178","4,032","4,785","4,778","3,883","3,763","3,838","4,037","5,415","5,789","5,732","5,086","5,232","5,365","3,678","2,702","3,561","4,695","1,602",2,"80,153"
14/01/2023,LÍNEA H,138,319,280,255,151,163,117,111,107,93,93,114,99,116,61,33,48,38,11,,"2,347"
14/01/2023,LÍNEA J,877,"1,530","1,734","1,540","1,131",892,847,801,911,741,762,805,827,790,265,42,336,262,85,52,"15,230"
14/01/2023,LÍNEA K,"1,816","2,517","2,353","1,970","1,519","1,276","1,184","1,302","1,285","1,139","1,144","1,188","1,464","1,569","1,068",587,382,667,246,6,"24,682"
14/01/2023,LÍNEA L,,,,,,244,332,329,346,370,426,394,478,367,,,,,,77,"3,363"
14/01/2023,LÍNEA M,240,520,601,448,348,317,293,340,409,499,586,589,613,573,543,316,453,354,270,81,"8,393"
